Localidade,Name,Level
Limgrave,Soldier of Godrick,01_Lvl 01 - 20
Limgrave,Stonedigger Troll,01_Lvl 01 - 20
Limgrave,2x Demi-Human Chief,01_Lvl 01 - 20
Limgrave,Beastman of Farum Azula,01_Lvl 01 - 20
Limgrave,Bloodhound Knight Darriwil,01_Lvl 01 - 20
Limgrave,Grave Warden Duelist,01_Lvl 01 - 20
Limgrave,Mad Pumpking Head,01_Lvl 01 - 20
Limgrave,Bell Bearing Hunter,01_Lvl 01 - 20
Limgrave,Black Knife Assassin,01_Lvl 01 - 20
Limgrave,Crucible Knight,01_Lvl 01 - 20
Limgrave,Erdtree Burial Watchdog,01_Lvl 01 - 20
Limgrave,Night's Cavalry,01_Lvl 01 - 20
Limgrave,Tibia Mariner,01_Lvl 01 - 20
Limgrave,Tree Sentinel,01_Lvl 01 - 20
Limgrave,Deathbird,01_Lvl 01 - 20
Limgrave,Flying Dragon Agheel,01_Lvl 01 - 20
Limgrave,Guardian Golem,01_Lvl 01 - 20
Limgrave,Ulcerated Tree Spirit,01_Lvl 01 - 20
Limgrave,Patches,01_Lvl 01 - 20
Weeping Peninsula,Scaly Misbegotten,02_Lvl 20-30
Weeping Peninsula,Cemetery Shade,02_Lvl 20-30
Weeping Peninsula,Ancient Hero of Zamor,02_Lvl 20-30
Weeping Peninsula,Demi-Human Queen,02_Lvl 20-30
Weeping Peninsula,Erdtree Burial Watchdog,02_Lvl 20-30
Weeping Peninsula,Night's Cavalry,02_Lvl 20-30
Weeping Peninsula,Runebear,02_Lvl 20-30
Weeping Peninsula,Miranda the Blighted Bloom,02_Lvl 20-30
Weeping Peninsula,Deathbird,02_Lvl 20-30
Weeping Peninsula,Erdtree Avatar,02_Lvl 20-30
Liurnia of the Lakes,Bloodhound Knight,03_Lvl 40-70
Liurnia of the Lakes,"Bols, Carian Knight",03_Lvl 40-70
Liurnia of the Lakes,Clearnot Knight,03_Lvl 40-70
Liurnia of the Lakes,Onyx Lord,03_Lvl 40-70
Liurnia of the Lakes,2x Crystalian (Staff and Spear),03_Lvl 40-70
Liurnia of the Lakes,Cemetery Shade,03_Lvl 40-70
Liurnia of the Lakes,Crystalian (Ringblade),03_Lvl 40-70
Liurnia of the Lakes,Royal Revenant,03_Lvl 40-70
Liurnia of the Lakes,Omenkiller,03_Lvl 40-70
Liurnia of the Lakes,Bell Bearing Hunter,03_Lvl 40-70
Liurnia of the Lakes,Black Knife Assassin,03_Lvl 40-70
Liurnia of the Lakes,Erdtree Burial Watchdog,03_Lvl 40-70
Liurnia of the Lakes,Night's Cavalry (North),03_Lvl 40-70
Liurnia of the Lakes,Night's Cavalry (South),03_Lvl 40-70
Liurnia of the Lakes,Tibia Mariner,03_Lvl 40-70
Liurnia of the Lakes,Death Rite Bird,03_Lvl 40-70
Liurnia of the Lakes,Deathbird,03_Lvl 40-70
Liurnia of the Lakes,Erdtree Avatar (Northeast),03_Lvl 40-70
Liurnia of the Lakes,Erdtree Avatar (Southwest),03_Lvl 40-70
Liurnia of the Lakes,Glintstone Dragon Adula (1st location),03_Lvl 40-70
Liurnia of the Lakes,Glintstone Dragon Smarag,03_Lvl 40-70
Liurnia of the Lakes,Magma Wyrm Makar,03_Lvl 40-70
Liurnia of the Lakes,"Adan, Thief of Fire",03_Lvl 40-70
Liurnia of the Lakes,Spirit Caller Snail,03_Lvl 40-70
Altus Plateau,Sanguine Noble,05_Lvl 60-70
Altus Plateau,2x Crystalian (Spear and Ringblade),05_Lvl 60-70
Altus Plateau,Ancient Hero of Zamor,05_Lvl 60-70
Altus Plateau,Black Knife Assassin (Sainted Hero's Grave),05_Lvl 60-70
Altus Plateau,Godskin Apostle,05_Lvl 60-70
Altus Plateau,Night's Cavalry,05_Lvl 60-70
Altus Plateau,Wormface,05_Lvl 60-70
Altus Plateau,"Margit, the Fell Omen",05_Lvl 60-70
Altus Plateau,Fallingstar Beast,05_Lvl 60-70
Altus Plateau,Godefroy the Grafted,05_Lvl 60-70
Altus Plateau,Ancient Dragon Lansseax (1st location),05_Lvl 60-70
Altus Plateau,Ancient Dragon Lansseax (2nd location),05_Lvl 60-70
Altus Plateau,"Miranda, the Blighted Bloom and Omenkiller",05_Lvl 60-70
Caelid,2x Clearnot Knight (Spear and Sickle),05_Lvl 60-70
Caelid,2x Mad Pumpking Heads (Hammer and Flail),05_Lvl 60-70
Caelid,Battlemage Hugues,05_Lvl 60-70
Caelid,Frenzied Duelist,05_Lvl 60-70
Caelid,Nox Swordstress and Nox Monk,05_Lvl 60-70
Caelid,"3x Crystalians (Spear, Staff and Disk)",05_Lvl 60-70
Caelid,Cemetery Shade,05_Lvl 60-70
Caelid,2x Edrtree Burial Watchdog,05_Lvl 60-70
Caelid,Night's Cavalry,05_Lvl 60-70
Caelid,Commander O'Neil,05_Lvl 60-70
Caelid,Fallingstar Beast,05_Lvl 60-70
Caelid,Decaying Ekzykes,05_Lvl 60-70
Caelid,Magma Wyrm,05_Lvl 60-70
Caelid,Death Rite Bird,05_Lvl 60-70
Caelid,Crucible Knight and Misbegotten Warrior,05_Lvl 60-70
Lake of Rot,"Astel, Naturalborn of the Void",07_Lvl 80-100
Lake of Rot,Dragonkin Soldier,07_Lvl 80-100
Deeproot Depths,Crucible Knight Siluria,08_Lvl 80-90
Deeproot Depths,Lichdragon Fortissax,08_Lvl 80-90
Dragonbarrow,Bell Bearing Hunter,09_Lvl 90-110
Dragonbarrow,Godskin Apostle,09_Lvl 90-110
Dragonbarrow,Night's Cavalry,09_Lvl 90-110
Dragonbarrow,Black Blade Kindred (Bestial Sanctum),09_Lvl 90-110
Dragonbarrow,Flying Dragon Greyll,09_Lvl 90-110
Dragonbarrow,Putrid Avatar,09_Lvl 90-110
Dragonbarrow,Elder Dragon Greyol,09_Lvl 90-110
Consecrated Snowfield,Putrid Grave Warden Duelist,12_Lvl 100-120
Consecrated Snowfield,Misbegotten Crusader,12_Lvl 100-120
Consecrated Snowfield,Night's Cavalry Duo,12_Lvl 100-120
Consecrated Snowfield,"Astel, Stars of Darkness",12_Lvl 100-120
Consecrated Snowfield,Great Wyrm Theodorix,12_Lvl 100-120
Consecrated Snowfield,Putrid Avatar,12_Lvl 100-120
Consecrated Snowfield,Stray Mimic Tear,12_Lvl 100-120
Altus Plateau,"Eleonora, Violet Bloody Finger",05_Lvl 60-70
Altus Plateau,Magnus the Beast Claw,05_Lvl 60-70
Altus Plateau,Rileigh the Idle,05_Lvl 60-70
Ashen Capital,"Godfrey, First Elden Lord/Hoarah Loux, Warrior",09_Lvl 90-110
Ashen Capital,Radagon of the Golden Order/Elden Beast,09_Lvl 90-110
Ashen Capital,"Sir Gideon Onfir, the All-Knowing",09_Lvl 90-110
Caelid,Putrid Avatar,05_Lvl 60-70
Caelid,Putrid Tree Spirit,05_Lvl 60-70
Caelid,Millicent,05_Lvl 60-70
Capital Outskirts,Grave Warden Duelist,05_Lvl 60-70
Capital Outskirts,Onyx Lord,05_Lvl 60-70
Capital Outskirts,2x Crucible Knight,05_Lvl 60-70
Capital Outskirts,Bell Bearing Hunter,05_Lvl 60-70
Capital Outskirts,Draconic Tree Sentinel,05_Lvl 60-70
Capital Outskirts,Tree Sentinel Duo,05_Lvl 60-70
Capital Outskirts,Deathbird,05_Lvl 60-70
Capital Outskirts,Dung Eater,05_Lvl 60-70
Caria Manor,Royal Knight Loretta,03_Lvl 40-70
Castle Morne,Leonine Misbegotten,02_Lvl 20-30
Castle Sol,Commander Niall,07_Lvl 80-100
Consecrated Snowfield,Sanguine Noble,12_Lvl 100-120
Consecrated Snowfield,Death Rite Bird,12_Lvl 100-120
Consecrated Snowfield,"Anastasia, Tarnished-Eater",12_Lvl 100-120
Crumbling Farum Azula,Godskin Duo,11_Lvl 100-120
Crumbling Farum Azula,"Maliketh, The Black Blade",11_Lvl 100-120
Crumbling Farum Azula,Dragonlord Placidusax,11_Lvl 100-120
Crumbling Farum Azula,Recusant Bernahl,11_Lvl 100-120
Deeproot Depths,Late Boys,09_Lvl 90-110
Dragonbarrow,2x Beastman of Farum Azula,09_Lvl 90-110
"Elphael, Brace of the Haligtree","Loretta, Knight of the Haligtree",14_Lvl 120-150
"Elphael, Brace of the Haligtree","Malenia, Blade of Miquella",14_Lvl 120-150
Forbidden Lands,Night's Cavalry (Forbidden Lands),07_Lvl 80-100
Forbidden Lands,Black Blade Kindred (Forbidden Lands),07_Lvl 80-100
Lake of Rot,Baleful Shadow,11_Lvl 100-120
"Leyndell, Royal Capital",2x Fell Twin,10_Lvl 90-150
"Leyndell, Royal Capital","Morgott, the Omen King",10_Lvl 90-150
"Leyndell, Royal Capital","Mohg, the Omen",10_Lvl 90-150
"Leyndell, Royal Capital",Erdtree Avatar,10_Lvl 90-150
"Leyndell, Royal Capital","Godfrey, First Elden Lord (Golden Shade)",10_Lvl 90-150
"Leyndell, Royal Capital",Esgar. Priest of Blood,10_Lvl 90-150
"Leyndell, Royal Capital","Vargram, the Raging Wolf",10_Lvl 90-150
Limgrave,Grafted Scion,01_Lvl 01 - 20
Limgrave,"Anastasia, Tarnished-Eater",01_Lvl 01 - 20
Limgrave,Bloody Finger Nerijus,01_Lvl 01 - 20
Limgrave,Old Knight Istvan,01_Lvl 01 - 20
Limgrave,Recusant Henricus,01_Lvl 01 - 20
Liurnia of the Lakes,Godskin Noble,03_Lvl 40-70
Liurnia of the Lakes,Bloody Finger Ravenmount Assasin,03_Lvl 40-70
Liurnia of the Lakes,Edgar the Revenger,03_Lvl 40-70
Liurnia of the Lakes,Festering Fingerprint Vyke,03_Lvl 40-70
Liurnia of the Lakes,Great Horned Tragoth,03_Lvl 40-70
Liurnia of the Lakes,Preceptor Miriam,03_Lvl 40-70
Mohgwyn Dynasty Mausoleum,"Mohg, Lord of Blood",14_Lvl 120-150
Mohgwyn Dynasty Mausoleum,3x Nameless White Mask,14_Lvl 120-150
Moonlight Altar,"Alecto, Black Knife Ringleader",05_Lvl 60-70
Moonlight Altar,Glintstone Dragon Adula (1st location) (2nd location),05_Lvl 60-70
Mount Gelmir,2x Kindred of Rot,07_Lvl 80-100
Mount Gelmir,Stonedigger Troll,07_Lvl 80-100
Mount Gelmir,Black Knife Assassin (Sage's Cave),07_Lvl 80-100
Mount Gelmir,Demi-Human Queen Gilika,07_Lvl 80-100
Mount Gelmir,Demi-Human Queen Maggie,07_Lvl 80-100
Mount Gelmir,Demi-Human Queen Margot,07_Lvl 80-100
Mount Gelmir,Erdtree Burial Watchdog,07_Lvl 80-100
Mount Gelmir,Tibia Mariner,07_Lvl 80-100
Mount Gelmir,Full-Grown Fallingstar Beast,07_Lvl 80-100
Mount Gelmir,Magma Wyrm,07_Lvl 80-100
Mount Gelmir,Red Wolf of the Champion,07_Lvl 80-100
Mount Gelmir,Ulcerated Tree Spirit,07_Lvl 80-100
Mount Gelmir,Perfumer Tricia and Misbegotten Warrior,07_Lvl 80-100
Mount Gelmir,"Anastasia, Tarnished-Eater",07_Lvl 80-100
Mount Gelmir,Necromancer Garris,07_Lvl 80-100
Mountaintop of Giants,Ancient Hero of Zamor,11_Lvl 100-120
Mountaintop of Giants,Spritcaller Snail,11_Lvl 100-120
Mountaintop of Giants,Tibia Mariner,11_Lvl 100-120
Mountaintop of Giants,Death Rite Bird,11_Lvl 100-120
Mountaintop of Giants,"Borealis, the Freezing Fog",11_Lvl 100-120
Mountaintop of Giants,Fire Giant,11_Lvl 100-120
Mountaintop of Giants,Putrid Avatar,11_Lvl 100-120
Mountaintop of Giants,Ulcerated Tree Spirit,11_Lvl 100-120
Mountaintop of Giants,Bloody Finger Okina,11_Lvl 100-120
Mountaintop of Giants,Chief Guardian Arganthy,11_Lvl 100-120
Mountaintop of Giants,Juno Hoslow; Knight of Blood,11_Lvl 100-120
Mountaintop of Giants,"Vyke, Knight of the Roundtable",11_Lvl 100-120
Nokstella and Uhl Palace,Dragonkin Soldier of Nokstella,11_Lvl 100-120
Raya Lucaria Academy,"Rennala, Queen of the Full Moon",03_Lvl 40-70
Raya Lucaria Academy,Red Wolf of Radagon,03_Lvl 40-70
Raya Lucaria Academy,"Moongrum, Carian Knight",03_Lvl 40-70
Redmane Castle,Starscourge Radahn,05_Lvl 60-70
Shaded Castle,Elemer of the Briar,07_Lvl 80-100
Shaded Castle,"Maleigh Marais, Shaded Castle Castelan",07_Lvl 80-100
Siofra and Nokron,Valiant Gargoyle Duo,05_Lvl 60-70
Siofra and Nokron,Ancestor Spirit,05_Lvl 60-70
Siofra and Nokron,Dragonkin Soldier,05_Lvl 60-70
Siofra and Nokron,Regal Ancestor Spirit,05_Lvl 60-70
Siofra and Nokron,Mimic Tear,05_Lvl 60-70
Stormveil Castle,"Margit, the Fell Omen",01_Lvl 01 - 20
Stormveil Castle,Godrick the Grafted,01_Lvl 01 - 20
Stormveil Castle,Ulcerated Tree Spirit,01_Lvl 01 - 20
Volcano Manor,2x Abductor Virgin,07_Lvl 80-100
Volcano Manor,Godskin Noble,07_Lvl 80-100
Volcano Manor,Tanith's Crucible Knight,07_Lvl 80-100
Volcano Manor,"Rykard, Lorf of Blasphemy",07_Lvl 80-100
Volcano Manor,Inquisitor Ghiza,07_Lvl 80-100